SiO2,P2O5,ZrO2,Na2O,Al2O3,Fe2O3,CaO,MgO,K2O,B2O3,MnO,BaO,ZnO,GeO2,Li2O,Ta2O5,SrO,CdO,SnO2,La2O3,Ga2O3,Y2O3,TiO2,Nb2O5,PbO,HfO2,WO3,Sb2O3,Bi2O3,Cr2O3,Cu2O,BeO,CuO,Nd2O3,CeO2,Cs2O,As2O3,Rb2O,Eu2O3,MoO3,FeO,Mn2O3,ThO2,Ag2O,MnO2,TeO2,Tl2O,CoO,In2O3,Sc2O3,NiO,V2O5,As2O5,Sm2O3,Gd2O3,Tb2O3,Dy2O3,Er2O3,Yb2O3,SnO,Ce2O3,Pr2O3,VO6,Pr6O11,Ni2O3,V2O3,Lu2O3,HgO,Tm2O3,Nb2O3,Tl2O3,Ta2O3,Tb4O7,n531.9nm,n632.8nm,nd,pn[fornd],predictedrefractiveindex,ri,summarizedrefractiveindex,Origin,_src,IDS
0.0,24.99,0.0,0.0,0.0,0.0,0.0,0.0,10.29,0.0,0,8.5,0.0,0.0,1.01,0.0302,0.0,0,0,0.0,0,0.0,20.7,34.49,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.954,0.0,0.0,1.954,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-10.csv
0.0,24.02,0.0,0.0,0.0,0.0,22.28,0.0,4.96,0.0,0,0.0,0.0,0.0,0.0,0.0252,0.0,0,0,0.0,0,0.0,22.44,26.28,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.964,0.0,0.0,1.964,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-10.csv
0.0,24.02,0.0,0.0,0.0,0.0,20.01,0.0,4.96,0.0,0,0.0,0.0,0.0,0.0,0.0253,0.0,0,0,0.0,0,0.0,24.6,26.39,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.956,0.0,0.0,1.956,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-10.csv
0.0,24.02,0.0,0.0,0.0,0.0,20.0,0.0,4.96,0.0,0,0.0,0.0,0.0,0.0,0.0215,0.0,0,0,0.0,0,0.0,27.0,24.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.964,0.0,0.0,1.964,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-10.csv
0.0,23.99,0.0,0.0,0.0,0.0,16.07,0.0,6.91,0.0,0,3.02,0.0,0.0,0.0,0.0265,0.0,0,0,0.0,0,0.0,21.99,27.99,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9725,1.948,1.9572,1.981,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-11.csv
0.0,23.99,0.0,0.0,0.0,0.0,13.1,0.0,5.19,0.0,0,7.7,0.0,0.0,0.0,0.0285,0.0,0,0,0.0,0,0.0,18.0,32.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.978,0.0,0.0,1.978,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-11.csv
0.0,23.99,0.0,0.0,0.0,0.0,14.63,0.0,6.06,0.0,0,5.3,0.0,0.0,0.0,0.0282,0.0,0,0,0.0,0,0.0,17.99,32.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.97,0.0,0.0,1.97,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-11.csv
0.0,23.89,0.0,0.0,0.0,0.0,16.01,0.0,3.96,0.0,0,6.12,0.0,0.0,0.0,0.0268,0.0,0,0,0.0,0,0.0,21.99,28.01,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9766,1.974,1.9751,1.965,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-11.csv
0.0,23.89,0.0,0.0,0.0,0.0,14.84,0.0,5.12,0.0,0,6.11,0.0,0.0,0.0,0.0267,0.0,0,0,0.0,0,0.0,22.58,27.43,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.971,0.0,0.0,1.971,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-11.csv
0.0,23.88,0.0,0.0,0.0,0.0,14.91,0.0,5.07,0.0,0,6.11,0.0,0.0,0.0,0.0273,0.0,0,0,0.0,0,0.0,20.89,29.12,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0044,1.974,1.9853,1.972,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-11.csv
0.0,23.9,0.0,0.0,0.0,0.0,14.04,0.0,5.91,0.0,0,6.11,0.0,0.0,0.0,0.0276,0.0,0,0,0.0,0,0.0,20.03,29.98,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9887,1.96,1.9707,1.958,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-11.csv
0.0,23.5,0.0,0.0,0.0,0.0,7.5,0.0,5.0,0.0,0,12.5,0.0,0.0,0.0,0.0292,0.0,0,0,0.0,0,0.0,20.0,31.47,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.99,0.0,0.0,1.99,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-12.csv
0.0,23.26,0.0,0.0,0.0,0.0,7.26,0.0,5.0,0.0,0,12.26,0.0,0.0,0.0,0.0289,0.0,0,0,0.0,0,0.0,21.42,30.77,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.992,0.0,0.0,1.992,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-12.csv
0.0,23.26,0.0,0.0,0.0,0.0,7.25,0.0,5.0,0.0,0,12.27,0.0,0.0,0.0,0.0291,0.0,0,0,0.0,0,0.0,20.81,31.38,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.995,0.0,0.0,1.995,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-12.csv
0.0,23.28,0.0,0.0,0.0,0.0,7.29,0.0,4.99,0.0,0,12.29,0.0,0.0,0.0,0.0294,0.0,0,0,0.0,0,0.0,20.0,32.12,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.995,0.0,0.0,1.995,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-12.csv
0.0,22.94,0.0,0.0,0.0,0.0,7.02,0.0,4.99,0.0,0,12.03,0.0,0.0,0.0,0.0289,0.0,0,0,0.0,0,0.0,22.17,30.82,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.997,0.0,0.0,1.997,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-12.csv
0.0,22.94,0.0,0.0,0.0,0.0,7.02,0.0,5.0,0.0,0,12.03,0.0,0.0,0.0,0.0291,0.0,0,0,0.0,0,0.0,21.53,31.45,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.986,0.0,0.0,1.986,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-12.csv
0.0,23.91,0.0,3.76,0.0,0.0,9.1,0.0,2.14,0.0,0,8.0,0.0,0.0,2.1,0.0284,0.0,0,0,0.0,0,0.0,18.97,31.98,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.991,0.0,0.0,1.991,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-13.csv
0.0,23.98,0.0,0.0,0.0,0.0,9.01,0.0,8.0,0.0,0,8.01,0.0,0.0,0.0,0.0271,0.0,0,0,0.0,0,0.0,16.4,31.0,0,0,0.0,0.0,3.58,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.989,0.0,0.0,1.989,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_5-13.csv
