Patent ID;Al2O3;BaO;Bi2O3;CaO;CeO2;Fe2O3;K2O;La2O3;Li2O;MgO;Na2O;Nb2O5;P2O5;SiO2;SrO;Ta2O5;TiO2;WO3;Y2O3;ZnO;ZrO2
US20240025797A1;0.03;14.94;0;0;0.03;0;0;3.99;0;0;11.95;8.49;0;44.83;0.31;0;7.5;0;4.68;0;3.25
US20240025797A1;0.03;14.94;0;0;0;0;0;0;0;0;11.95;11.18;0;44.86;0.31;0;10.19;0;1.94;0;4.59
US20240025797A1;0.02;7.98;0;4.17;0;0;6.44;0;0;0;8.34;14.98;0;44.92;0.16;0;2.99;0;0;0;4.99
US20240025797A1;0.02;12.15;0;0;0;0;6.44;0;0;0;8.33;17.95;0;49.87;0.25;0.01;2.99;0;0;0;1.99
US20240025797A1;0.02;12.15;0;0;0;0;6.44;0;0;0;8.33;14.96;0;49.87;0.25;0;5.98;0;0;0;1.99
US20240025797A1;0.02;7.98;0;6.6;0;0;6.37;0;0;0.03;5.98;14.97;0;49.9;0.16;0;3;0;0;0;4.99
US20240025797A1;0.02;7.98;0;3.36;0;0;5.67;0;0;0;9.9;14.98;0;49.93;0.16;0;3;0;0;0;4.99
US20240025797A1;0.02;10;0;2.01;0.04;0;3;7.07;3.01;0;5.97;9.16;0;44.97;3;0;8.17;0;0;0;3.59
US20240025797A1;0.02;10;0;2;0;0;3;0;3.01;0;5.99;8.93;0;44.99;3;0;7.93;0;7.67;0;3.47
US20240025797A1;0.02;10;0;2;0;0;3;0;3;0;5.97;12;0;45.01;3;0;11;0;0;0;4.99
US20240025797A1;0.01;5.49;0;1.5;0;0;6;0;6;0;6.1;17.75;0;50.02;1.5;0;3.39;0;0;0;2.25
US20240025797A1;0.02;10.96;0;4;0;0;2;0;2;0;3.62;15.13;0;49.99;3.99;0;3.4;0;0;0;4.87
US20240025797A1;0.02;9.42;0;2;0;0;4;0;4;0;4.77;16.38;0;50.01;2;0;3.79;0;0;0;3.62
US20240025797A1;0.01;5.96;0;1.5;0;0;4;0;4;0;5.78;16.35;0;49.99;1.5;0;7.24;0;0;0;3.65
US20240025797A1;0.02;7.88;0;2.01;0;0;3.99;0;4.01;0;3.98;15.99;0;49.99;2;0;6.12;0;0;0;4.01
US20240025797A1;0.02;9.87;0;3;0;0;3;0;2.99;0;3.54;15.5;0;50.01;3;0;4.58;0;0;0;4.5
US20240025797A1;0.04;7.98;0;0;0;0.01;0;0;0;0.03;16.96;19.95;0;49.88;0.17;0;4.98;0;0;0;0
US20240025797A1;0.04;6.83;0;0;0;0.01;0;0;0;0.03;16.2;16.12;0;49.88;0.14;0;7.75;3;0;0;0
US20240025797A1;0.04;6.6;0;0;0;0.01;0;0;0;0.02;16.04;15.36;0;49.89;0.14;0;11.89;0;0;0;0
US20240025797A1;0.04;5.41;0;0;0;0.01;0;0;0;0.02;15.25;11.39;0;49.91;0.11;0;15.1;2.75;0;0;0
US20240025797A1;0.04;4.99;0;0;0;0.01;0;0;0;0.02;14.97;9.98;0;49.93;0.1;0;19.96;0;0;0;0
US20240025797A1;0.04;5.85;0;0;0;0.01;0;0;0;0.03;15.55;12.86;0;49.91;0.12;0;12.11;3.53;0;0;0
US20240025797A1;5;9.99;0;0;0;0.01;0;0;14.98;0.02;0.01;10;0;49.97;0.01;0;10;0;0;0;0
US20240025797A1;5;9.99;0;0.03;0;0.01;0;0;0;0.02;14.94;9.99;0;49.98;0.01;0;9.99;0;0;0;0
US20240025797A1;0.04;7.99;0;0.86;0;0.01;0.83;0;0;0.05;17.28;14.98;0;49.95;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;8;0;0.85;0;0.01;3.31;0;0;0.03;14.82;14.99;0;49.96;0.01;0;2.99;0;0;0;5
US20240025797A1;0.04;7.99;0;3.39;0;0.01;3.27;0;0;0.08;12.32;14.98;0;49.92;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.99;0;3.36;0;0.01;5.68;0;0;0.08;9.95;14.97;0;49.91;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.99;0;5.85;0;0.01;3.32;0;0;0.1;9.89;14.97;0;49.91;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.99;0;8.31;0;0.01;0.8;0;0;0.15;9.85;14.97;0;49.88;0.01;0;2.99;0;0;0;4.99
US20240025797A1;0.04;7.99;0;3.32;0;0.01;10.38;0;0;0.08;5.28;14.97;0;49.91;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;8;0;0.82;0;0.01;15.15;0;0;0.03;3.01;14.99;0;49.95;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.99;0;3.28;0;0.01;12.69;0;0;0.08;2.99;14.98;0;49.93;0.01;0;3;0;0;0;4.99
US20240025797A1;0.04;7.99;0;5.72;0;0.01;10.27;0;0;0.1;2.98;14.98;0;49.92;0.01;0;3;0;0;0;4.99
