SiO2,P2O5,ZrO2,Na2O,Al2O3,Fe2O3,CaO,MgO,K2O,B2O3,MnO,BaO,ZnO,GeO2,Li2O,Ta2O5,SrO,CdO,SnO2,La2O3,Ga2O3,Y2O3,TiO2,Nb2O5,PbO,HfO2,WO3,Sb2O3,Bi2O3,Cr2O3,Cu2O,BeO,CuO,Nd2O3,CeO2,Cs2O,As2O3,Rb2O,Eu2O3,MoO3,FeO,Mn2O3,ThO2,Ag2O,MnO2,TeO2,Tl2O,CoO,In2O3,Sc2O3,NiO,V2O5,As2O5,Sm2O3,Gd2O3,Tb2O3,Dy2O3,Er2O3,Yb2O3,SnO,Ce2O3,Pr2O3,VO6,Pr6O11,Ni2O3,V2O3,Lu2O3,HgO,Tm2O3,Nb2O3,Tl2O3,Ta2O3,Tb4O7,n531.9nm,n632.8nm,nd,pn[fornd],predictedrefractiveindex,ri,summarizedrefractiveindex,Origin,_src,IDS
1.19,24.17,0.0,13.84,0.0,0.0,0.0,0.0,3.04,4.11,0,1.87,0.0,0.0,0.0,0.0,2.07,0,0,0.0,0,0.0,23.26,26.35,0,0,0.0,0.0983,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9385,1.9126,1.9222,1.899,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-0.csv
0.0,20.9,0.0,7.37,0.0,0.0,0.0,0.0,6.46,5.47,0,16.37,0.0,0.0,0.0,0.0,1.47,0,0,0.0,0,0.0,16.19,25.75,0,0,0.0,0.0261,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9094,1.8872,1.8955,1.882,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-1.csv
0.0,24.99,0.0,3.4,0.0,0.0,8.01,0.0,3.3,0.0,0,8.0,0.0,0.0,3.29,0.0188,8.0,0,0,0.0,0,0.0,20.01,21.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9922,1.9624,1.9734,1.879,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-2.csv
0.0,21.8,0.0,3.94,0.0,0.0,0.0,0.0,0.0,5.85,0,5.31,0.0,0.0,8.18,1.84,0.0,0,0,0.0,0,0.0,20.39,30.94,0,0,0.0,0.0056,1.75,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0348,2.0019,2.014,1.988,0.0,0.0,-1.0,common,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-2.csv
49.91,0.0,4.99,9.89,0.04,0.01,5.85,0.1,3.23,0.0,0,7.99,0.0,0.0,0.0,0.0,0.01,0,0,0.0,0,0.0,3.0,14.97,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.791,1.791,common,,data\patents\patents_google_com_patent_US20240025797A1_en\processed\splitted\patents_google_com_patent_US20240025797A1_en-table_5-7.csv
0.0,25.62,0.0,0.0,0.0,0.0,0.0,0.0,8.08,6.56,0,8.93,0.0,0.0,5.09,0.0,7.34,0,0,0.0,0,0.0,11.43,26.96,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.879,0.0,0.0,1.879,u1,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-1.csv
0.0,30.0,0.0,9.97,0.0137,0.0,0.0,0.0,5.01,0.0,0,5.0,0.0,0.0,0.0,0.019,5.0,0,0,0.0,0,0.0,25.0,20.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.951,0.0,0.0,1.951,u1,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-1.csv
0.0,24.99,0.0,4.97,0.0,0.0193,5.0,0.0,4.99,0.0,0,4.0,4.0,0.0,5.0,0.0279,0.0,0,0,0.0,0,0.0,14.99,32.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.952,0.0,0.0,1.952,u1,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-1.csv
0.0,24.99,0.0,4.99,0.0158,0.0,7.99,0.0,4.99,0.0,0,7.0,0.0,0.0,5.01,0.0328,0.0,0,0,0.0,0,0.0,10.0,34.98,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.951,0.0,0.0,1.951,u1,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-1.csv
0.0,25.01,0.0,4.98,0.0,0.0,4.99,0.0,4.99,0.0,0,5.0,0.0,0.0,4.98,0.0329,5.01,0,0,0.0,0,0.0,10.0,35.02,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.952,0.0,0.0,1.952,u1,,data\patents\patents_google_com_patent_US11485676B2_en\processed\splitted\patents_google_com_patent_US11485676B2_en-table_6-1.csv
